File #,Agenda #,Name,Type,Title,Action
,,,,Announcements,
,A.,,,Call to Order,
,B.,,,Pledge of Allegiance,
,C.,,,Roll Call,
,D.,,,Approval of Minutes,
,E.,,,Elections and Confirmations,
23-320,E1.,,Appointment,"Civil Service Commission Reappointment of Mr. William Farmer for a term expiring on March 31, 2028.",
23-323,E2.,,Appointment,"Metropolitan Development and Housing Agency Appointment of Mr. Johnny Moore for a term expiring on November 5, 2023. Mr. Moore will fill the unexpired term of Mr. Aole Ansari.",
23-324,E3.,,Appointment,"Planning Commission Appointment of Mr. Matthew Smith for a term expiring on March 31, 2027.",
23-325,E4.,,Appointment,"Planning Commission Appointment of Mr. Aron Thompson for a term expiring on March 31, 2027.",
23-326,E5.,,Appointment,"Zoning Appeals Board Appointment of Mr. Robert Ransom for a term expiring on February 26, 2028.",
,F.,,,Public Comment Period,
,G.,,,Resolutions on Public Hearing,
RS2023-2157,1,,Resolution,"A resolution exempting Estelle, located at 814 Woodland Street from the minimum distance requirements for obtaining a beer permit pursuant to Section 7.08.090.E of the Metropolitan Code.",
,H.,,,Consent Resolutions and Resolutions,
RS2023-2121,2,,Resolution,A resolution requesting the Metropolitan Employee Benefit Board reevaluate its decision to offer a Group Medicare Advantage plan to Metropolitan Government pensioners as their only option.,
RS2023-2158,3,,Resolution,"A resolution authorizing the issuance of not to exceed one hundred and sixty-three million ($163,000,000) in aggregate principal amount of interfund tax anticipation notes of the Metropolitan Government of Nashville and Davidson County, Tennessee.",
RS2023-2159,4,,Resolution,A resolution increasing the maximum income limit for eligibility in the Property Tax Freeze Program that provides financial assistance to low-income elderly residents of Metropolitan Nashville-Davidson County beginning in Tax Year 2024.,
RS2023-2160,5,,Resolution,"A resolution appropriating the amount of $34,850,600.00 from the General Fund Reserve Fund for the purchase of equipment and building repairs for various departments of The Metropolitan Government of Nashville and Davidson County.",
RS2023-2161,6,,Resolution,"A resolution appropriating to certain accounts for the benefit of the Administrative Department, Department of General Services, Mediation Services Fund, and Metropolitan Nashville Public Schools in the amount of Eighteen Million, Seven Hundred Seven Thousand, Seven Hundred Dollars ($18,707,700).",
RS2023-2162,7,,Resolution,"A resolution calling the independent Metropolitan Board of Equalization (“MBOE”) into regular session beginning June 1, 2023 and special session beginning June 20, 2023.",
RS2023-2163,8,,Resolution,A resolution approving the appointment of hearing officers by the independent Metropolitan Board of Equalization (“MBOE”) to conduct preliminary hearings and to make investigations regarding complaints before the Board.,
RS2023-2164,9,,Resolution,"A resolution appropriating a total of $137,000.00 from a certain account of the Community Safety Fund for a grant to The Contributor, Inc. 441",
RS2023-2165,10,,Resolution,"A resolution appropriating a total of $169,000.00 from a certain account of the Community Safety Fund for grants to various nonprofit organizations for South Nashville Community Safety programs.",
RS2023-2166,11,,Resolution,"A resolution approving amendment one to a grant from the Tennessee Department of Human Services to the Metropolitan Government, acting by and through the Davidson County Juvenile Court, to establish and enforce federal and state mandated child support program guidelines for children born out of wedlock.",
RS2023-2167,12,,Resolution,A resolution approving an Amended Economic Impact Plan for the Madison Station Economic Development Area.,
RS2023-2168,13,,Resolution,"A resolution to approve the First Amendment to a grant contract for constructing affordable housing approved by RS2022-1857 between The Metropolitan Government of Nashville and Davidson County, acting by and through the Metropolitan Housing Trust Fund Commission, and Woodbine Community Organization.",
RS2023-2169,14,,Resolution,"A resolution approving a grant from the Nashville Community Engagement Fund of the Community Foundation of Middle Tennessee to the Metropolitan Government, acting by and through the Metropolitan Planning Commission, to provide funding to subsidize The Barnes Fund’s efforts to support affordable housing.",
RS2023-2170,15,,Resolution,"A resolution authorizing the Metropolitan Department of Law to compromise and settle the personal injury claim of John Foy against the Metropolitan Government of Nashville and Davidson County in the amount of $23,016.50, and that said amount be paid out of the Self-Insured Liability Fund.",
RS2023-2171,16,,Resolution,"A resolution accepting an Emergency Management Performance Grant (EMPG) from the Tennessee Emergency Management Agency to the Metropolitan Government, acting by and through the Office of Emergency Management, to subsidize the Emergency Management Program.",
RS2023-2172,17,,Resolution,"A resolution approving a Letter of Acceptance for 2023 Urban Area Security Initiative Grant Funds by the Metropolitan Government, acting by and through the Office of Emergency Management, to the Tennessee Emergency Management Agency for Homeland Security District 5.",
RS2023-2173,18,,Resolution,"A resolution approving a Letter of Acceptance for 2023 Homeland Security Grant Funds by the Metropolitan Government, acting by and through the Office of Emergency Management, to the Tennessee Emergency Management Agency for Homeland Security District 5.",
RS2023-2174,19,,Resolution,"A resolution approving a contract by and between the Metropolitan Government, acting by and through the Metropolitan Board of Health, and the Tennessee Department of Health to identify Arboviruses and assist in the prevention and control of Vector-Borne Diseases in Tennessee.",
RS2023-2175,20,,Resolution,"A resolution approving amendments one and two to a grant from the U.S. Department of Health and Human Services to the Metropolitan Government, acting by and through the Metropolitan Board of Health, to provide for the prevention, surveillance, diagnosis, and treatment of HIV/AIDS and to administer a Minority AIDS Initiative program.",
RS2023-2176,21,,Resolution,"A resolution approving amendment seven to a grant from the U. S. Environmental Protection Agency to the Metropolitan Government, acting by and through the Metropolitan Board of Health, for the ongoing collection of data on ambient air concentrations for fine particulate matter in Nashville, Tennessee.",
RS2023-2177,22,,Resolution,"A resolution appropriating a total of $51,437.95 to increase the individual grant amounts from the Nashville Public Library to various non-profit organizations for the provision of educational, career, and cultural field trips and enrichment opportunities through the Library’s Nashville After Zone Alliance out-of-school time coordinating system.",
RS2023-2178,23,,Resolution,"A resolution appropriating a total of $40,247 from the Nashville Public Library to various non-profit organizations for the provision of educational, career, and cultural field trips and enrichment opportunities for the month of June 2023 through the Library’s Nashville After Zone Alliance out-of-school time coordinating system.",
RS2023-2179,24,,Resolution,"A resolution approving amendment one to a grant from the Tennessee State Library and Archives, to the Metropolitan Government, acting by and through the Nashville Public Library, to target library materials to persons having difficulty using a library, provide special services to children and young people, and promote general education support services.",
RS2023-2180,25,,Resolution,"A resolution approving amendment one to a grant from the Nashville Public Library Foundation to the Metropolitan Government, acting by and through the Nashville Public Library, to fund education and literacy programs to provide literacy initiatives that emphasize the importance of developing literacy skills by educating teachers, children, and parents.",
RS2023-2181,26,,Resolution,"A resolution authorizing CTH Nashville, LLC dba City Tap House Nashville to construct and install an aerial encroachment at 205 Demonbreun (Proposal No.2022M-32EN-001).",
RS2023-2182,27,,Resolution,"A resolution authorizing Cannery Owner, LLC; Cannery Investment I LLC to construct and install an aerial encroachment at 521A 8th Avenue South (Proposal No.2023M-007EN-001).",
RS2023-2183,28,,Resolution,"A resolution approving an application for a Tire Environmental Act Program (TEAP) grant from the Tennessee Department of Environment & Conservation to the Metropolitan Government, acting by and through the Nashville Department of Transportation & Multimodal Infrastructure (NDOT), for NDOT’s project, Let’s Gain Traction with Vision Zero, which seeks to repurpose tires collected from neighborhood cleanups, illegal dumping, and convenience centers to transform this waste into bike lane barriers that provide safe multimodal options for cyclists.",
RS2023-2184,29,,Resolution,"A resolution accepting a donation from 19th Church Street, LLC in the amount of $214,000 as a contribution towards infrastructure improvements at the intersection of 19th Avenue and Church Street.",
RS2023-2185,30,,Resolution,"A resolution accepting a grant from the State of Tennessee, Department of Environment and Conservation to the Metropolitan Government of Nashville and Davidson County, acting by and through the Metropolitan Department of Water and Sewerage Services Stormwater NPDES Office, to construct stormwater swales and stormwater detention basin features at the Metro Nashville Police Impound Lot.",
RS2023-2186,31,,Resolution,"A resolution authorizing the Metropolitan Department of Law to compromise and settle the Metropolitan Government of Nashville and Davidson County’s property damage claim against T Com, LLC in the amount of $84,535.00, and that said amount be paid to the General Fund.",
RS2023-2187,32,,Resolution,"A resolution urging the Mayor’s Office, the Metro Health Department, Metro Homeless Impact Division, and Metro Social Services to evaluate housing pods purchased with COVID-19 Epidemiology and Laboratory Capacity (ELC) grant funds and create an action plan for their use.",
RS2023-2188,33,,Resolution,A resolution honoring Patricia Elkins of the FreeStore.,
RS2023-2189,34,,Resolution,"A resolution to honor the Board of Directors of the Sierra Club on their meeting in Nashville, Tennessee, on May 19 and 20, 2023.",
RS2023-2190,35,,Resolution,A resolution recognizing the month of May as Asian and Pacific Islander Heritage Month in Nashville and Davidson County.,
,I.,,,Bills on Introduction and First Reading,
BL2023-1858,36,,Bill (Ordinance),An ordinance amending title 17 of the Metropolitan Code of Laws by deleting sections 17.32.020(B)(3) and 17.40.510(C) and adding new language in those sections clarifying that signs regulated by the Metropolitan Department of Codes are to be maintained so that all sign panels remain complete and intact.,
BL2023-1867,37,,Bill (Ordinance),"A bill to be entitled: The Budget Ordinance of the Metropolitan Government of Nashville and Davidson County, Tennessee for Fiscal Year 2024",
